32768|0.0000000000000001 -0.0000000000000007 0.0000000000000011 0.0000000000000012 0.0000000000000008 0.0000000000000005 -0.0000000000000016 0.0000000000000003 -0.0000000000000004 -0.0000000000000008 0.0030441763810813
1|-0.0000000000000002 0.0000000000000005 0.0000000000000006 0.0000000000000000 0.0000000000021102 -0.0000000000000002 -0.0000000000000006 0.0000000000000013 0.0000000000000010 -0.0000000000000001 0.0011791624128819
0|0.0000000000000003 0.0000000000000011 -0.0000000000000004 -0.0000000000000011 0.0000000000000012 0.0000000000000001 -0.0000000000000005 -0.0000000000000007 -0.0000000000000004 -0.0000000000000003 -0.0028914785943925
32775|-0.0000000000000002 0.0000000000000011 0.0000000000000001 0.0000000000000001 0.0000000000007418 0.0000000000000006 0.0000000000000015 -0.0000000000000006 -0.0000000000000005 -0.0000000000000000 -0.0123777557164431
32776|0.0000000000000004 0.0000000000000009 0.0000000000000002 0.0000000000000000 0.0000000000182022 -0.0000000000000000 0.0000000000000004 -0.0000000000000004 0.0000000000000003 0.0000000000000003 0.0046368017792702
10|0.0000000000000009 0.0000000000000012 -0.0000000000000000 -0.0000000000000009 0.0000000000000000 -0.0000000000000005 0.0000000000000004 0.0000000000000011 -0.0000000000000000 0.0000000000000006 0.0000912012474146
32778|0.0000000000000005 0.0000000000000004 0.0000000000000002 0.0000000000000001 -0.0000000000001941 0.0000000000000006 -0.0000000000000002 -0.0000000000000001 -0.0000000000000005 -0.0000000000000001 -0.0031659172382206
32780|0.0000000000000005 -0.0000000000000009 -0.0000000000000000 0.0000000000000017 0.0000000000000002 -0.0000000000000002 -0.0000000000000002 0.0000000000000009 -0.0000000000000003 0.0000000000000001 0.0058298930525780
14|0.0000000000000003 -0.0000000000000006 -0.0000000000000003 -0.0000000000000001 -0.0000000000000002 -0.0000000000000004 -0.0000000000000004 0.0000000000000004 -0.0000000000000010 -0.0000000000000006 0.0012473142705858
32784|0.0000000000000000 0.0000000000000009 -0.0000000000000002 -0.0000000000000003 0.0000000000000008 0.0000000000000002 0.0000000000000000 -0.0000000000000003 0.0000000000000012 -0.0000000000000003 -0.0105527695268393
17|-0.0000000000000005 -0.0000000000000004 -0.0000000000000006 -0.0000000000000003 0.0000000000000007 -0.0000000000000010 0.0000000000000004 -0.0000000000000012 -0.0000000000000005 0.0000000000000001 0.0019702729769051
32786|-0.0000000000000001 -0.0000000000000001 -0.0000000000000000 -0.0000000000000002 -0.0000000000000003 0.0000000000000009 0.0000000000000002 0.0000000000000001 0.0000000000000009 0.0000000000000007 -0.0032457676716149
32787|-0.0000000000000004 0.0000000000000002 -0.0000000000000004 0.0000000000000009 0.0000000000000004 -0.0000000000000005 -0.0000000000000002 0.0000000000000002 0.0000000000000001 0.0000000000000000 -0.0034257511142641
23|-0.0000000000000002 -0.0000000000000000 0.0000000000000005 -0.0000000000000001 0.0000000000000035 -0.0000000000000001 -0.0000000000000003 0.0000000000000003 -0.0000000000000000 0.0000000000000001 -0.0023110441397876
28|0.0000000000000002 -0.0000000000000003 -0.0000000000000003 0.0000000000000018 -0.0000000000000496 0.0000000000000007 -0.0000000000000009 0.0000000000000011 -0.0000000000000007 0.0000000000000006 -0.0090517308562994
29|0.0000000000000010 -0.0000000000000006 0.0000000000000006 0.0000000000000003 -0.0000000279826562 -0.0000000000000011 -0.0000000000000014 0.0000000000000007 -0.0000000000000003 -0.0000000000000003 0.0232492834329605
32797|-0.0000000000000001 -0.0000000000000001 0.0000000000000004 -0.0000000000000000 -0.0000000000000020 -0.0000000000000004 -0.0000000000000004 0.0000000000000004 0.0000000000000001 -0.0000000000000006 0.0052997400052845
32796|0.0000000000000004 0.0000000000000004 -0.0000000000000002 0.0000000000000001 0.0000000000000005 -0.0000000000000002 -0.0000000000000002 0.0000000000000005 0.0000000000000006 -0.0000000000000005 0.0002371093578404
33|0.0000000000000002 -0.0000000000000007 -0.0000000000000005 -0.0000000000000003 0.0000000000000032 -0.0000000000000002 0.0000000000000001 0.0000000000000006 0.0000000000000014 -0.0000000000000005 0.0014518129173666
39|0.0000000000000006 0.0000000000000011 0.0000000000000003 0.0000000000000005 0.0000000000000022 0.0000000000000004 0.0000000000000004 -0.0000000000000003 0.0000000000000002 -0.0000000000000002 -0.0084735164418817
32809|-0.0000000000000004 0.0000000000000006 0.0000000000000001 -0.0000000000000005 -0.0000000000000007 -0.0000000000000001 -0.0000000000000001 0.0000000000000003 -0.0000000000000001 -0.0000000000000017 -0.0041758781298995
46|-0.0000000000000002 0.0000000000000003 0.0000000000000006 0.0000000000000007 -0.0000000000759680 -0.0000000000000004 -0.0000000000000001 -0.0000000000000004 0.0000000000000012 -0.0000000000000005 0.0077051804400980
52|-0.0000000000000010 0.0000000000000001 0.0000000000000008 0.0000000000000001 -0.0000000000466156 -0.0000000000000001 -0.0000000000000003 -0.0000000000000002 -0.0000000000000009 -0.0000000000000003 -0.0175748541951180
54|0.0000000000000002 -0.0000000000000005 0.0000000000000010 -0.0000000000000009 0.0000000000000130 -0.0000000000000002 -0.0000000000000009 -0.0000000000000014 -0.0000000000000002 -0.0000000000000003 0.0106168286874890
55|-0.0000000000000004 0.0000000000000004 -0.0000000000000000 -0.0000000000000008 0.0000000000023722 0.0000000000000017 -0.0000000000000000 0.0000000000000001 -0.0000000000000007 0.0000000000000005 -0.0090392632409930
32824|0.0000000000000001 -0.0000000000000002 0.0000000000000003 0.0000000000000008 0.0000000000000004 0.0000000000000005 0.0000000000000001 0.0000000000000010 0.0000000000000003 -0.0000000000000005 -0.0026838551275432
57|-0.0000000000000005 -0.0000000000000002 -0.0000000000000010 -0.0000000000000006 0.0000000033265661 0.0000000000000007 -0.0000000000000001 0.0000000000000008 0.0000000000000003 0.0000000000000004 0.0344202630221844
56|-0.0000000000000001 -0.0000000000000003 -0.0000000000000000 -0.0000000000000006 0.0000000000008450 0.0000000000000005 -0.0000000000000001 -0.0000000000000006 0.0000000000000010 0.0000000000000001 -0.0019919313490391
32827|-0.0000000000000012 0.0000000000000009 0.0000000000000011 -0.0000000000000008 -0.0000000000000007 -0.0000000000000005 -0.0000000000000015 -0.0000000000000002 0.0000000000000009 -0.0000000000000005 -0.0021949277725071
60|0.0000000000000004 -0.0000000000000003 0.0000000000000000 0.0000000000000002 -0.0000000000143010 0.0000000000000000 0.0000000000000006 0.0000000000000004 0.0000000000000006 -0.0000000000000002 -0.0090921111404896
32830|-0.0000000000000004 0.0000000000000002 -0.0000000000000003 -0.0000000000000005 -0.0000000000000004 0.0000000000000004 -0.0000000000000005 0.0000000000000011 0.0000000000000009 0.0000000000000004 -0.0009527065558359
63|0.0000000000000011 0.0000000000000013 -0.0000000000000000 0.0000000000000007 -0.0000000000000580 -0.0000000000000015 0.0000000000000001 0.0000000000000002 0.0000000000000004 0.0000000000000005 0.0041684168390930
64|-0.0000000000000003 0.0000000000000002 -0.0000000000000005 -0.0000000000000004 0.0000000000000002 -0.0000000000000010 0.0000000000000008 0.0000000000000000 0.0000000000000006 -0.0000000000000004 0.0003279787488282
